account_id,churned,plan,upgrade_path,final_seats,signup_channel,company_size_bucket,months_retained
1803,True,pro,trial_conversion,1,content,small,1
1554,False,pro,trial_conversion,1,content,small,4
447,True,pro,trial_conversion,1,content,small,8
52,True,pro,trial_conversion,1,content,small,4
813,True,pro,trial_conversion,1,content,small,3
1768,False,pro,trial_conversion,1,content,small,2
1120,True,pro,trial_conversion,1,content,small,5
1115,False,pro,trial_conversion,1,content,small,8
1549,False,pro,trial_conversion,1,content,small,4
317,True,pro,trial_conversion,1,content,small,3
1353,False,pro,trial_conversion,2,content,small,6
1716,False,pro,late_upgrade,2,content,small,1
188,True,pro,late_upgrade,2,content,small,6
398,False,pro,late_upgrade,2,content,small,16
50,True,pro,late_upgrade,2,content,small,17
851,False,pro,late_upgrade,2,content,small,9
1036,False,pro,trial_conversion,2,content,small,9
1882,True,pro,trial_conversion,2,content,small,1
662,False,team,trial_conversion,2,content,small,13
1151,False,pro,trial_conversion,2,content,small,8
463,True,pro,late_upgrade,2,content,small,8
1102,False,pro,late_upgrade,2,content,small,1
746,False,pro,late_upgrade,2,content,small,1
1832,False,pro,trial_conversion,2,content,small,1
29,False,pro,late_upgrade,2,content,small,21
1348,False,pro,trial_conversion,2,content,small,6
505,False,pro,trial_conversion,2,content,small,15
332,False,pro,late_upgrade,2,content,small,16
988,True,pro,trial_conversion,2,content,small,4
1560,False,pro,trial_conversion,3,content,small,4
177,False,pro,late_upgrade,3,content,small,18
1811,False,pro,trial_conversion,3,content,small,2
637,False,pro,trial_conversion,3,content,small,13
1720,False,pro,trial_conversion,3,content,small,2
502,True,pro,trial_conversion,3,content,small,2
1884,False,pro,trial_conversion,3,content,small,1
1108,False,pro,trial_conversion,3,content,small,8
1784,False,team,trial_conversion,4,content,medium,2
514,False,pro,trial_conversion,4,content,small,15
1629,False,pro,trial_conversion,4,content,small,3
67,False,pro,trial_conversion,4,content,medium,22
355,True,pro,trial_conversion,4,content,small,16
1294,False,pro,trial_conversion,4,content,small,6
