account_id,variant,chose_annual,trial_period_task_count
317,control,False,0
1913,control,False,0
1527,control,False,1
1145,control,False,1
794,control,False,1
1160,control,False,1
614,control,False,1
1784,control,False,2
1050,control,False,2
831,control,False,2
242,control,True,2
1470,control,False,2
1452,control,False,2
171,control,False,2
1897,control,False,2
1288,control,True,2
1002,control,False,2
860,control,False,2
157,control,False,2
1768,control,False,2
687,control,True,2
344,control,False,3
749,control,True,3
1660,control,False,3
1373,control,False,3
397,control,False,3
355,control,False,3
135,control,False,3
1595,control,False,3
1560,control,False,3
1837,control,False,3
1525,control,True,4
334,control,False,4
659,control,False,4
1751,control,True,4
680,control,False,4
1012,control,False,4
1678,control,False,4
864,control,False,4
1420,control,True,4
683,control,False,4
172,control,False,4
775,control,False,4
837,control,False,4
1557,control,False,4
1397,control,False,4
1542,control,False,4
607,control,True,4
1735,control,True,4
1124,control,False,4
982,control,False,4
848,control,False,4
461,control,False,4
1007,control,False,4
435,control,False,4
1677,control,False,4
298,control,True,5
161,control,False,5
1090,control,False,5
1301,control,False,5
1258,control,False,5
1195,control,False,5
932,control,False,5
1198,control,False,5
1115,control,True,5
472,control,False,5
1315,control,True,5
1226,control,False,5
641,control,False,5
1618,control,False,5
1302,control,False,5
1029,control,True,5
751,control,False,5
1038,control,False,5
1629,control,False,5
1436,control,False,6
1792,control,False,6
1484,control,True,6
1173,control,False,6
211,control,False,6
808,control,False,6
116,control,True,6
1310,control,True,6
1956,control,True,6
156,control,False,6
228,control,False,6
1685,control,True,6
988,control,False,6
1668,control,False,6
786,control,False,6
957,control,False,6
796,control,False,6
1693,control,False,6
1437,control,False,6
405,control,False,6
1416,control,False,6
263,control,False,6
442,control,False,6
1740,control,False,6
1903,control,False,6
602,control,True,6
307,control,True,6
1645,control,False,6
1787,control,True,6
1114,control,False,6
343,control,False,6
1969,control,False,7
1220,control,False,7
817,control,False,7
737,control,True,7
1009,control,True,7
488,control,False,7
548,control,False,7
1544,control,False,7
269,control,False,7
1304,control,False,7
877,control,True,7
508,control,False,7
1348,control,True,7
654,control,False,7
882,control,True,7
1541,control,False,7
1078,control,False,7
111,control,False,7
1059,control,False,7
1259,control,False,7
1332,control,True,7
1927,control,True,7
230,control,True,7
1586,control,False,7
997,control,True,7
969,control,False,8
1157,control,False,8
1064,control,False,8
1020,control,False,8
1593,control,True,8
1803,control,False,8
785,control,False,8
507,control,True,8
1014,control,False,8
1842,control,True,8
639,control,True,8
813,control,False,8
1427,control,False,8
1450,control,True,8
1690,control,False,8
620,control,False,8
584,control,False,8
528,control,False,8
920,control,False,8
1807,control,True,8
854,control,True,8
276,control,False,8
1831,control,True,8
403,control,False,8
267,control,False,8
807,control,False,8
233,control,False,8
934,control,True,8
132,control,True,8
1279,control,False,8
1834,control,True,9
1854,control,True,9
496,control,True,9
571,control,False,9
505,control,False,9
1324,control,False,9
743,control,True,9
1338,control,True,9
1151,control,False,9
1616,control,False,9
1929,control,False,9
382,control,False,9
871,control,False,9
282,control,False,9
115,control,True,9
1278,control,True,9
295,control,False,9
462,control,True,9
842,control,False,9
1388,control,False,9
1529,control,True,9
208,control,False,9
181,control,False,10
213,control,False,10
359,control,False,10
699,control,False,10
1201,control,True,10
1681,control,True,10
447,control,False,10
662,control,True,10
953,control,False,10
190,control,False,10
558,control,False,10
1303,control,False,10
349,control,True,10
194,control,True,10
1402,control,True,10
880,control,True,10
1912,control,False,11
1156,control,False,11
1612,control,True,11
1318,control,True,11
1083,control,True,11
301,control,False,11
1932,control,False,11
968,control,True,11
1743,control,False,11
637,control,True,11
802,control,False,11
1602,control,True,11
1285,control,True,11
589,control,True,11
838,control,False,11
621,control,True,11
1312,control,False,12
1289,control,True,12
1843,control,False,12
1353,control,True,12
204,control,False,12
1056,control,True,12
712,control,False,12
433,control,False,12
1422,control,False,13
1769,control,True,13
1746,control,True,13
1217,control,True,13
829,control,False,13
1605,control,True,13
925,control,False,13
1700,control,True,13
549,control,True,13
697,control,True,13
240,control,True,13
292,control,True,13
1372,control,False,13
1825,control,False,13
1287,control,False,13
1911,control,True,13
273,control,True,14
265,control,False,14
1061,control,True,14
234,control,True,14
354,control,True,15
1005,control,True,15
1508,control,True,15
1884,control,False,15
1419,control,False,15
452,control,False,15
478,control,True,15
1107,control,True,15
814,control,True,15
1606,control,True,16
594,control,False,16
1444,control,True,16
793,control,True,16
847,control,False,17
196,control,True,17
1435,control,True,17
955,control,True,17
681,control,False,18
1723,control,True,18
1566,control,False,20
1429,control,False,20
521,control,True,21
1192,control,False,22
394,control,True,25
873,treatment,True,0
1010,treatment,False,1
1916,treatment,False,1
1832,treatment,False,1
1468,treatment,False,1
1571,treatment,False,1
709,treatment,False,1
1937,treatment,False,1
676,treatment,False,1
1384,treatment,False,2
1724,treatment,False,2
1502,treatment,False,2
888,treatment,False,2
1182,treatment,True,2
1526,treatment,False,2
268,treatment,False,2
1713,treatment,False,3
741,treatment,False,3
1116,treatment,False,3
670,treatment,True,3
866,treatment,False,3
1637,treatment,False,3
1505,treatment,False,3
726,treatment,False,3
1772,treatment,True,3
1297,treatment,False,3
1731,treatment,False,3
970,treatment,False,3
1623,treatment,False,3
406,treatment,False,3
434,treatment,False,3
927,treatment,False,3
865,treatment,False,3
1496,treatment,False,4
1412,treatment,False,4
896,treatment,False,4
744,treatment,True,4
745,treatment,False,4
1340,treatment,False,4
1882,treatment,False,4
1657,treatment,False,4
502,treatment,True,4
1476,treatment,True,4
1236,treatment,False,4
1739,treatment,False,4
826,treatment,False,4
1704,treatment,True,4
1203,treatment,False,4
1952,treatment,False,4
517,treatment,False,4
810,treatment,False,4
1919,treatment,False,4
1867,treatment,False,4
1120,treatment,False,5
1294,treatment,False,5
755,treatment,False,5
1248,treatment,False,5
138,treatment,False,5
811,treatment,False,5
542,treatment,False,5
1300,treatment,False,5
475,treatment,False,5
197,treatment,False,5
1153,treatment,True,5
371,treatment,False,5
1894,treatment,False,5
1036,treatment,True,5
1625,treatment,False,5
1636,treatment,False,5
1298,treatment,False,5
536,treatment,True,5
1205,treatment,True,6
1354,treatment,False,6
835,treatment,False,6
1950,treatment,False,6
1117,treatment,False,6
636,treatment,True,6
1621,treatment,False,6
272,treatment,False,6
874,treatment,False,6
1603,treatment,False,6
340,treatment,False,6
1579,treatment,True,6
1549,treatment,False,6
1362,treatment,False,6
646,treatment,False,6
1105,treatment,False,6
1921,treatment,False,6
1554,treatment,True,6
411,treatment,False,6
1281,treatment,True,7
981,treatment,False,7
788,treatment,False,7
1401,treatment,False,7
1276,treatment,False,7
1793,treatment,False,7
1480,treatment,False,7
1161,treatment,False,7
1765,treatment,True,7
1352,treatment,True,7
186,treatment,False,7
1479,treatment,True,7
859,treatment,False,7
1081,treatment,False,7
1122,treatment,False,7
947,treatment,False,7
1095,treatment,False,7
1167,treatment,True,7
425,treatment,False,7
819,treatment,False,7
849,treatment,False,7
1460,treatment,True,7
1343,treatment,False,7
1779,treatment,True,7
1271,treatment,False,7
1235,treatment,False,7
140,treatment,False,7
324,treatment,True,7
231,treatment,False,7
804,treatment,True,7
1729,treatment,False,7
1208,treatment,True,7
850,treatment,False,7
1106,treatment,True,7
1008,treatment,False,8
1821,treatment,False,8
918,treatment,True,8
1754,treatment,False,8
365,treatment,True,8
684,treatment,False,8
715,treatment,False,8
562,treatment,False,8
1644,treatment,True,8
1558,treatment,False,8
773,treatment,False,8
331,treatment,False,8
1680,treatment,True,8
1043,treatment,True,8
531,treatment,False,8
720,treatment,False,8
619,treatment,True,8
836,treatment,True,8
221,treatment,False,8
703,treatment,False,8
691,treatment,False,8
1599,treatment,False,8
1021,treatment,False,8
1811,treatment,False,8
189,treatment,False,8
1674,treatment,False,8
1516,treatment,False,8
486,treatment,True,8
1425,treatment,False,8
429,treatment,False,8
750,treatment,True,9
603,treatment,False,9
192,treatment,True,9
592,treatment,False,9
919,treatment,True,9
1745,treatment,False,9
176,treatment,False,9
1011,treatment,True,9
312,treatment,False,9
1409,treatment,True,9
1871,treatment,False,9
1509,treatment,False,9
1461,treatment,False,9
781,treatment,False,9
395,treatment,True,10
674,treatment,True,10
1054,treatment,False,10
1108,treatment,False,10
113,treatment,False,10
736,treatment,False,10
482,treatment,False,10
1632,treatment,False,10
1968,treatment,False,10
237,treatment,False,10
1604,treatment,True,10
103,treatment,False,10
1631,treatment,True,10
512,treatment,False,10
1823,treatment,True,10
1822,treatment,True,11
861,treatment,False,11
1165,treatment,False,11
182,treatment,True,11
514,treatment,True,11
991,treatment,False,11
1730,treatment,True,12
459,treatment,True,12
1582,treatment,True,12
1375,treatment,True,12
1052,treatment,True,12
1753,treatment,True,12
1923,treatment,False,12
1442,treatment,False,12
579,treatment,False,12
1630,treatment,True,12
1785,treatment,False,12
474,treatment,False,13
1664,treatment,True,13
1733,treatment,False,13
1607,treatment,False,13
875,treatment,True,13
1799,treatment,True,13
671,treatment,True,13
1749,treatment,True,13
1670,treatment,False,14
1720,treatment,True,14
1495,treatment,True,14
701,treatment,True,14
523,treatment,True,14
1848,treatment,False,14
809,treatment,True,15
1684,treatment,True,15
1424,treatment,True,15
1675,treatment,False,15
160,treatment,True,15
1172,treatment,False,16
575,treatment,True,16
1895,treatment,True,17
379,treatment,False,17
1588,treatment,False,17
556,treatment,True,18
1728,treatment,True,18
420,treatment,True,19
772,treatment,True,19
1331,treatment,True,22
1789,treatment,True,23
