account_id,crossed_threshold,exp3_nudged,late_upgraded
18,False,False,False
43,False,False,False
98,False,False,False
126,False,False,False
151,True,False,False
169,False,False,False
332,False,False,True
375,False,False,False
448,False,False,False
465,False,False,False
555,False,False,False
577,False,False,False
640,False,False,False
868,False,False,False
949,False,False,False
950,False,False,False
952,False,False,False
967,False,False,False
1168,False,False,False
1196,False,False,False
1244,False,False,False
1277,True,True,False
1321,False,False,False
1327,False,False,False
1490,False,False,False
1521,False,False,False
1570,False,False,False
1591,False,False,False
1609,True,True,False
1774,False,False,False
1859,False,False,False
40,False,False,False
50,False,False,True
87,False,False,False
90,False,False,False
134,False,False,False
330,False,False,False
509,True,False,True
552,False,False,False
628,False,False,True
686,False,False,False
890,False,False,False
1028,False,False,False
1069,False,False,False
1128,False,False,False
1245,False,False,False
1286,True,True,True
1322,False,False,False
1407,False,False,False
1469,False,False,False
1564,False,False,True
1572,False,False,False
1686,False,False,False
1747,False,False,True
1802,False,False,False
1816,False,False,False
1944,False,False,False
1964,False,False,False
32,False,False,False
89,False,False,False
123,False,False,False
145,False,False,False
226,False,False,False
333,False,False,False
484,False,False,False
499,False,False,False
546,False,False,False
634,True,True,True
698,False,False,False
801,False,False,False
1096,True,True,False
1158,False,False,False
1170,False,False,False
1171,False,False,False
1256,False,False,False
1260,False,False,False
1290,False,False,False
1417,False,False,False
1483,False,False,True
1576,False,False,False
1634,False,False,False
1752,False,False,False
1763,False,False,False
1901,False,False,False
1925,False,False,False
93,False,False,False
136,False,False,False
215,False,False,False
232,False,False,False
279,False,False,False
303,False,False,False
430,False,False,False
463,True,False,True
476,False,False,False
495,True,False,True
529,False,False,False
881,False,False,False
944,False,False,False
1019,False,False,False
1034,True,True,True
1040,False,False,False
1063,False,False,False
1230,False,False,False
1249,False,False,False
1319,False,False,True
1356,False,False,False
1369,False,False,False
1404,False,False,False
1545,False,False,False
1741,False,False,False
97,False,False,False
162,False,False,False
280,True,True,False
293,False,False,False
323,False,False,False
455,False,False,True
516,True,True,True
518,False,False,False
565,True,False,False
626,False,False,False
644,False,False,False
965,False,False,False
1057,False,False,False
1085,False,False,False
1101,False,False,False
1102,True,True,True
1190,False,False,False
1204,False,False,False
1292,False,False,False
1376,False,False,False
1400,False,False,False
1443,False,False,False
1497,False,False,False
1523,False,False,False
1701,False,False,False
1773,False,False,False
1812,False,False,False
1864,False,False,False
1868,False,False,False
1909,False,False,False
1955,False,False,False
81,False,False,False
271,False,False,False
319,False,False,False
423,False,False,False
596,False,False,True
601,False,False,False
692,False,False,False
721,True,True,False
821,False,False,False
824,False,False,False
886,False,False,False
939,False,False,False
996,False,False,False
1044,False,False,True
1148,False,False,False
1387,False,False,False
1451,False,False,False
1455,False,False,False
1575,False,False,False
1585,False,False,False
1775,False,False,False
1833,False,False,False
1869,False,False,False
84,False,False,False
120,False,False,False
127,False,False,False
139,False,False,False
178,False,False,False
304,False,False,False
380,False,False,False
439,False,False,False
532,False,False,False
651,False,False,True
707,False,False,False
803,False,False,False
1006,False,False,False
1111,False,False,False
1210,False,False,False
1231,False,False,False
1311,False,False,False
1474,False,False,True
1507,False,False,False
1648,False,False,False
1682,False,False,False
1725,False,False,False
1888,False,False,False
1954,False,False,False
77,False,False,False
284,True,False,True
315,False,False,False
326,True,False,True
346,False,False,True
348,True,True,False
360,False,False,False
578,False,False,False
647,False,False,False
806,False,False,False
984,False,False,False
989,False,False,False
1041,False,False,False
