account_id,variant,did_activate
604,control,False
668,control,False
1046,control,False
1147,control,False
1732,control,False
692,control,True
854,control,True
1052,control,True
1083,control,True
1566,control,True
2017,control,True
666,treatment,False
789,treatment,False
1009,treatment,False
1057,treatment,False
1059,treatment,False
1195,treatment,False
1213,treatment,False
1228,treatment,False
1250,treatment,False
1411,treatment,False
1494,treatment,False
1619,treatment,False
1679,treatment,False
1709,treatment,False
1862,treatment,False
1988,treatment,False
1049,treatment,True
1191,treatment,True
520,control,False
560,control,False
860,control,False
1047,control,False
1239,control,False
1257,control,False
1400,control,False
1482,control,False
1820,control,False
693,control,True
1160,control,True
1676,control,True
2022,control,True
583,treatment,False
839,treatment,False
868,treatment,False
954,treatment,False
986,treatment,False
993,treatment,False
1546,treatment,False
1681,treatment,False
1790,treatment,False
1830,treatment,False
1120,treatment,True
1235,treatment,True
1436,treatment,True
1875,treatment,True
1962,treatment,True
1993,treatment,True
525,control,False
561,control,False
651,control,False
673,control,False
708,control,False
845,control,False
1001,control,False
1641,control,False
1682,control,False
1888,control,False
550,control,True
1069,control,True
1165,control,True
1445,control,True
1652,control,True
1793,control,True
563,treatment,False
695,treatment,False
774,treatment,False
803,treatment,False
1159,treatment,False
1168,treatment,False
1318,treatment,False
1322,treatment,False
1504,treatment,False
1658,treatment,False
1702,treatment,False
1891,treatment,False
548,treatment,True
687,treatment,True
703,treatment,True
772,treatment,True
847,treatment,True
920,treatment,True
1693,treatment,True
1878,treatment,True
595,control,False
976,control,False
1121,control,False
1383,control,False
1722,control,False
1992,control,False
659,control,True
701,control,True
1461,control,True
1576,control,True
1663,control,True
499,treatment,False
557,treatment,False
559,treatment,False
812,treatment,False
888,treatment,False
1174,treatment,False
1650,treatment,False
1661,treatment,False
1967,treatment,False
2005,treatment,False
1211,treatment,True
1296,treatment,True
1302,treatment,True
1740,treatment,True
1772,treatment,True
1779,treatment,True
534,control,False
612,control,False
886,control,False
894,control,False
962,control,False
1113,control,False
1516,control,False
1716,control,False
1725,control,False
1760,control,False
1943,control,False
592,control,True
1081,control,True
1571,control,True
1776,control,True
781,treatment,False
890,treatment,False
1171,treatment,False
1184,treatment,False
1201,treatment,False
1327,treatment,False
1428,treatment,False
1454,treatment,False
1491,treatment,False
1748,treatment,False
1828,treatment,False
2026,treatment,False
538,treatment,True
1153,treatment,True
1328,treatment,True
1645,treatment,True
656,control,False
700,control,False
750,control,False
853,control,False
967,control,False
1051,control,False
1065,control,False
1112,control,False
1299,control,False
1578,control,False
1809,control,False
540,control,True
579,control,True
674,control,True
773,control,True
793,control,True
1409,control,True
1896,control,True
586,treatment,False
664,treatment,False
798,treatment,False
1178,treatment,False
1260,treatment,False
1263,treatment,False
1406,treatment,False
1478,treatment,False
1540,treatment,False
1627,treatment,False
1715,treatment,False
1719,treatment,False
1762,treatment,False
1827,treatment,False
1885,treatment,False
1889,treatment,False
677,treatment,True
717,treatment,True
970,treatment,True
1412,treatment,True
1817,treatment,True
1833,treatment,True
501,control,False
527,control,False
1439,control,False
1594,control,False
1706,control,False
1770,control,False
1849,control,False
1922,control,False
1934,control,False
691,control,True
837,control,True
988,control,True
1332,control,True
1774,control,True
1868,control,True
1884,control,True
1936,control,True
640,treatment,False
734,treatment,False
811,treatment,False
1034,treatment,False
1167,treatment,False
1207,treatment,False
1489,treatment,False
1752,treatment,False
1892,treatment,False
1973,treatment,False
761,treatment,True
799,treatment,True
1873,treatment,True
1890,treatment,True
1921,treatment,True
2024,treatment,True
498,control,False
504,control,False
796,control,False
838,control,False
963,control,False
1032,control,False
1050,control,False
1339,control,False
1563,control,False
1691,control,False
1739,control,False
1946,control,False
1961,control,False
1362,control,True
893,treatment,False
927,treatment,False
946,treatment,False
1971,treatment,False
1030,treatment,True
1122,treatment,True
1161,treatment,True
1233,treatment,True
1422,treatment,True
1480,treatment,True
1768,treatment,True
502,control,False
526,control,False
601,control,False
787,control,False
801,control,False
1152,control,False
1215,control,False
1377,control,False
1473,control,False
1544,control,False
1570,control,False
1648,control,False
1750,control,False
619,control,True
1130,control,True
1304,control,True
1319,control,True
1353,control,True
1595,control,True
740,treatment,False
960,treatment,False
1079,treatment,False
1086,treatment,False
1441,treatment,False
1589,treatment,False
1626,treatment,False
1870,treatment,False
589,treatment,True
594,treatment,True
827,treatment,True
896,treatment,True
1771,treatment,True
1822,treatment,True
615,control,False
716,control,False
727,control,False
864,control,False
