cohort_month,week_number_post_trial,cohort_size,active_accounts,retention_rate
2024-01-01,0,18,17,0.9444
2024-01-01,1,18,17,0.9444
2024-01-01,2,18,17,0.9444
2024-01-01,3,18,16,0.8889
2024-01-01,4,18,15,0.8333
2024-01-01,5,18,17,0.9444
2024-01-01,6,18,15,0.8333
2024-01-01,7,18,18,1.0
2024-01-01,8,18,18,1.0
2024-01-01,9,18,17,0.9444
2024-01-01,10,18,17,0.9444
2024-01-01,11,18,15,0.8333
2024-01-01,12,18,17,0.9444
2024-01-01,13,18,17,0.9444
2024-01-01,14,18,17,0.9444
2024-01-01,15,18,18,1.0
2024-01-01,16,18,17,0.9444
2024-01-01,17,18,17,0.9444
2024-01-01,18,18,17,0.9444
2024-01-01,19,18,18,1.0
2024-01-01,20,18,17,0.9444
2024-01-01,21,18,17,0.9444
2024-01-01,22,18,17,0.9444
2024-01-01,23,18,18,1.0
2024-01-01,24,18,17,0.9444
2024-01-01,25,18,17,0.9444
2024-01-01,26,18,17,0.9444
2024-01-01,27,18,18,1.0
2024-01-01,28,18,17,0.9444
2024-01-01,29,18,18,1.0
2024-01-01,30,18,17,0.9444
2024-01-01,31,18,17,0.9444
2024-01-01,32,18,18,1.0
2024-01-01,33,18,17,0.9444
2024-01-01,34,18,18,1.0
2024-01-01,35,18,18,1.0
2024-01-01,36,18,18,1.0
2024-01-01,37,18,18,1.0
2024-01-01,38,18,18,1.0
2024-01-01,39,18,18,1.0
2024-01-01,40,18,16,0.8889
2024-01-01,41,18,18,1.0
2024-01-01,42,18,18,1.0
2024-01-01,43,18,17,0.9444
2024-01-01,44,18,17,0.9444
2024-01-01,45,18,18,1.0
2024-01-01,46,18,16,0.8889
2024-01-01,47,18,16,0.8889
2024-01-01,48,18,18,1.0
2024-01-01,49,18,16,0.8889
2024-01-01,50,18,18,1.0
2024-01-01,51,18,18,1.0
2024-02-01,0,23,21,0.913
2024-02-01,1,23,22,0.9565
2024-02-01,2,23,22,0.9565
2024-02-01,3,23,21,0.913
2024-02-01,4,23,23,1.0
2024-02-01,5,23,23,1.0
2024-02-01,6,23,22,0.9565
2024-02-01,7,23,20,0.8696
2024-02-01,8,23,23,1.0
2024-02-01,9,23,22,0.9565
2024-02-01,10,23,22,0.9565
2024-02-01,11,23,21,0.913
2024-02-01,12,23,22,0.9565
2024-02-01,13,23,20,0.8696
2024-02-01,14,23,21,0.913
2024-02-01,15,23,22,0.9565
2024-02-01,16,23,22,0.9565
2024-02-01,17,23,23,1.0
2024-02-01,18,23,22,0.9565
2024-02-01,19,23,22,0.9565
2024-02-01,20,23,23,1.0
2024-02-01,21,23,22,0.9565
2024-02-01,22,23,19,0.8261
2024-02-01,23,23,23,1.0
2024-02-01,24,23,23,1.0
2024-02-01,25,23,22,0.9565
2024-02-01,26,23,20,0.8696
2024-02-01,27,23,20,0.8696
2024-02-01,28,23,22,0.9565
2024-02-01,29,23,22,0.9565
2024-02-01,30,23,21,0.913
2024-02-01,31,23,21,0.913
2024-02-01,32,23,21,0.913
2024-02-01,33,23,21,0.913
2024-02-01,34,23,22,0.9565
2024-02-01,35,23,22,0.9565
2024-02-01,36,23,21,0.913
2024-02-01,37,23,22,0.9565
2024-02-01,38,23,22,0.9565
2024-02-01,39,23,23,1.0
2024-02-01,40,23,22,0.9565
2024-02-01,41,23,21,0.913
2024-02-01,42,23,21,0.913
2024-02-01,43,23,22,0.9565
2024-02-01,44,23,23,1.0
2024-02-01,45,23,22,0.9565
2024-02-01,46,23,23,1.0
2024-02-01,47,23,22,0.9565
2024-02-01,48,23,22,0.9565
2024-02-01,49,23,22,0.9565
2024-02-01,50,23,22,0.9565
2024-02-01,51,23,23,1.0
2024-03-01,0,32,29,0.9063
2024-03-01,1,32,32,1.0
2024-03-01,2,32,30,0.9375
2024-03-01,3,32,31,0.9688
2024-03-01,4,32,30,0.9375
2024-03-01,5,32,30,0.9375
2024-03-01,6,32,30,0.9375
2024-03-01,7,32,30,0.9375
2024-03-01,8,32,29,0.9063
2024-03-01,9,32,29,0.9063
2024-03-01,10,32,31,0.9688
2024-03-01,11,32,29,0.9063
2024-03-01,12,32,29,0.9063
2024-03-01,13,32,30,0.9375
2024-03-01,14,32,29,0.9063
2024-03-01,15,32,30,0.9375
2024-03-01,16,32,30,0.9375
2024-03-01,17,32,30,0.9375
2024-03-01,18,32,31,0.9688
2024-03-01,19,32,30,0.9375
2024-03-01,20,32,29,0.9063
2024-03-01,21,32,31,0.9688
2024-03-01,22,32,28,0.875
2024-03-01,23,32,31,0.9688
2024-03-01,24,32,29,0.9063
2024-03-01,25,32,31,0.9688
2024-03-01,26,32,29,0.9063
2024-03-01,27,32,32,1.0
2024-03-01,28,32,28,0.875
2024-03-01,29,32,31,0.9688
2024-03-01,30,32,28,0.875
2024-03-01,31,32,30,0.9375
2024-03-01,32,32,29,0.9063
2024-03-01,33,32,29,0.9063
2024-03-01,34,32,32,1.0
2024-03-01,35,32,31,0.9688
2024-03-01,36,32,32,1.0
2024-03-01,37,32,30,0.9375
2024-03-01,38,32,30,0.9375
2024-03-01,39,32,27,0.8438
2024-03-01,40,32,29,0.9063
2024-03-01,41,32,31,0.9688
2024-03-01,42,32,29,0.9063
2024-03-01,43,32,30,0.9375
2024-03-01,44,32,29,0.9063
2024-03-01,45,32,31,0.9688
2024-03-01,46,32,29,0.9063
2024-03-01,47,32,29,0.9063
2024-03-01,48,32,29,0.9063
2024-03-01,49,32,30,0.9375
2024-03-01,50,32,30,0.9375
2024-03-01,51,32,29,0.9063
2024-04-01,0,40,38,0.95
2024-04-01,1,40,37,0.925
2024-04-01,2,40,38,0.95
2024-04-01,3,40,35,0.875
2024-04-01,4,40,38,0.95
2024-04-01,5,40,35,0.875
2024-04-01,6,40,37,0.925
2024-04-01,7,40,36,0.9
2024-04-01,8,40,38,0.95
2024-04-01,9,40,39,0.975
2024-04-01,10,40,38,0.95
2024-04-01,11,40,37,0.925
2024-04-01,12,40,36,0.9
2024-04-01,13,40,36,0.9
2024-04-01,14,40,38,0.95
2024-04-01,15,40,38,0.95
2024-04-01,16,40,38,0.95
2024-04-01,17,40,37,0.925
2024-04-01,18,40,38,0.95
2024-04-01,19,40,37,0.925
2024-04-01,20,40,36,0.9
2024-04-01,21,40,37,0.925
2024-04-01,22,40,39,0.975
2024-04-01,23,40,38,0.95
2024-04-01,24,40,36,0.9
2024-04-01,25,40,36,0.9
2024-04-01,26,40,39,0.975
2024-04-01,27,40,37,0.925
2024-04-01,28,40,38,0.95
2024-04-01,29,40,35,0.875
2024-04-01,30,40,38,0.95
2024-04-01,31,40,38,0.95
2024-04-01,32,40,38,0.95
2024-04-01,33,40,38,0.95
2024-04-01,34,40,40,1.0
2024-04-01,35,40,37,0.925
2024-04-01,36,40,37,0.925
2024-04-01,37,40,36,0.9
2024-04-01,38,40,38,0.95
2024-04-01,39,40,40,1.0
2024-04-01,40,40,37,0.925
2024-04-01,41,40,36,0.9
2024-04-01,42,40,34,0.85
2024-04-01,43,40,39,0.975
2024-04-01,44,40,39,0.975
2024-04-01,45,40,37,0.925
2024-04-01,46,40,33,0.825
2024-04-01,47,40,38,0.95
2024-04-01,48,40,39,0.975
2024-04-01,49,40,38,0.95
2024-04-01,50,40,39,0.975
2024-04-01,51,40,38,0.95
2024-05-01,0,32,30,0.9375
2024-05-01,1,32,29,0.9063
2024-05-01,2,32,30,0.9375
2024-05-01,3,32,31,0.9688
2024-05-01,4,32,30,0.9375
2024-05-01,5,32,28,0.875
2024-05-01,6,32,28,0.875
2024-05-01,7,32,28,0.875
2024-05-01,8,32,30,0.9375
2024-05-01,9,32,28,0.875
2024-05-01,10,32,29,0.9063
2024-05-01,11,32,30,0.9375
2024-05-01,12,32,28,0.875
2024-05-01,13,32,30,0.9375
2024-05-01,14,32,30,0.9375
2024-05-01,15,32,31,0.9688
2024-05-01,16,32,30,0.9375
2024-05-01,17,32,29,0.9063
2024-05-01,18,32,31,0.9688
2024-05-01,19,32,31,0.9688
2024-05-01,20,32,31,0.9688
2024-05-01,21,32,29,0.9063
2024-05-01,22,32,31,0.9688
2024-05-01,23,32,30,0.9375
2024-05-01,24,32,31,0.9688
2024-05-01,25,32,29,0.9063
2024-05-01,26,32,29,0.9063
2024-05-01,27,32,31,0.9688
2024-05-01,28,32,31,0.9688
2024-05-01,29,32,30,0.9375
2024-05-01,30,32,30,0.9375
2024-05-01,31,32,29,0.9063
2024-05-01,32,32,29,0.9063
2024-05-01,33,32,31,0.9688
2024-05-01,34,32,30,0.9375
2024-05-01,35,32,30,0.9375
2024-05-01,36,32,30,0.9375
2024-05-01,37,32,30,0.9375
2024-05-01,38,32,31,0.9688
2024-05-01,39,32,30,0.9375
2024-05-01,40,32,29,0.9063
