account_id,company_name,signup_date,signup_channel,company_size_bucket
1,"Rodriguez, Figueroa and Sanchez",2024-01-01,content,medium
2,Doyle Ltd,2024-01-01,organic_search,small
3,"Mcclain, Miller and Henderson",2024-01-01,direct,small
4,Davis and Sons,2024-01-03,paid_search,medium
5,"Guzman, Hoffman and Baldwin",2024-01-03,organic_search,medium
6,"Gardner, Robinson and Lawrence",2024-01-03,paid_search,large
7,Blake and Sons,2024-01-04,direct,medium
8,"Henderson, Ramirez and Lewis",2024-01-05,referral,large
9,Garcia-James,2024-01-05,organic_search,small
10,Abbott-Munoz,2024-01-05,referral,medium
11,Blair PLC,2024-01-07,paid_search,small
12,Dudley Group,2024-01-08,direct,large
13,Arnold Ltd,2024-01-08,content,small
14,"Mcclure, Ward and Lee",2024-01-08,content,medium
15,Williams and Sons,2024-01-09,paid_search,small
16,Galloway-Wyatt,2024-01-09,organic_search,medium
17,James Group,2024-01-09,organic_search,medium
18,"Flowers, Martin and Kelly",2024-01-10,paid_search,small
19,"Adams, Zuniga and Wong",2024-01-12,organic_search,small
20,"Reid, Ferguson and Sanchez",2024-01-12,paid_search,small
21,Gray-Mayo,2024-01-12,paid_search,small
22,"Watts, Robinson and Nguyen",2024-01-14,paid_search,small
23,Perez Inc,2024-01-16,organic_search,large
24,Morales-Jones,2024-01-17,direct,small
25,"Walter, Edwards and Rios",2024-01-17,organic_search,large
26,Wilkerson-Day,2024-01-17,direct,small
27,Baker and Sons,2024-01-18,paid_search,small
28,"Hoffman, Baker and Richards",2024-01-18,direct,small
29,"Ross, Robinson and Bright",2024-01-18,content,small
30,"Snyder, Campos and Callahan",2024-01-19,paid_search,medium
31,Burton Ltd,2024-01-23,organic_search,small
32,Carlson-Cruz,2024-01-23,organic_search,small
33,"Ferrell, Rice and Maddox",2024-01-23,organic_search,medium
34,Frazier Inc,2024-01-23,organic_search,small
35,"Dyer, Potter and Mack",2024-01-24,organic_search,small
36,Rodriguez-Graham,2024-01-26,paid_search,medium
