account_id,week_number_post_trial,week_date,task_count,active
3,0,2024-01-15,6,True
3,1,2024-01-22,6,True
3,2,2024-01-29,5,True
3,3,2024-02-05,0,False
3,4,2024-02-12,2,True
3,5,2024-02-19,3,True
3,6,2024-02-26,1,True
3,7,2024-03-04,4,True
3,8,2024-03-11,2,True
3,9,2024-03-18,2,True
3,10,2024-03-25,3,True
3,11,2024-04-01,0,False
3,12,2024-04-08,6,True
3,13,2024-04-15,4,True
3,14,2024-04-22,2,True
3,15,2024-04-29,3,True
3,16,2024-05-06,2,True
3,17,2024-05-13,3,True
3,18,2024-05-20,1,True
3,19,2024-05-27,3,True
3,20,2024-06-03,4,True
3,21,2024-06-10,5,True
3,22,2024-06-17,2,True
3,23,2024-06-24,2,True
3,24,2024-07-01,3,True
3,25,2024-07-08,5,True
3,26,2024-07-15,2,True
3,27,2024-07-22,2,True
3,28,2024-07-29,3,True
3,29,2024-08-05,2,True
3,30,2024-08-12,2,True
3,31,2024-08-19,3,True
3,32,2024-08-26,2,True
3,33,2024-09-02,3,True
3,34,2024-09-09,4,True
3,35,2024-09-16,6,True
3,36,2024-09-23,4,True
3,37,2024-09-30,7,True
3,38,2024-10-07,7,True
3,39,2024-10-14,5,True
3,40,2024-10-21,4,True
3,41,2024-10-28,4,True
3,42,2024-11-04,6,True
3,43,2024-11-11,0,False
3,44,2024-11-18,2,True
3,45,2024-11-25,4,True
3,46,2024-12-02,0,False
3,47,2024-12-09,3,True
3,48,2024-12-16,2,True
3,49,2024-12-23,3,True
3,50,2024-12-30,1,True
3,51,2025-01-06,11,True
4,0,2024-01-17,6,True
4,1,2024-01-24,1,True
4,2,2024-01-31,1,True
4,3,2024-02-07,7,True
4,4,2024-02-14,4,True
4,5,2024-02-21,3,True
4,6,2024-02-28,2,True
4,7,2024-03-06,1,True
4,8,2024-03-13,6,True
4,9,2024-03-20,3,True
4,10,2024-03-27,4,True
4,11,2024-04-03,0,False
4,12,2024-04-10,1,True
4,13,2024-04-17,1,True
4,14,2024-04-24,2,True
4,15,2024-05-01,5,True
4,16,2024-05-08,4,True
4,17,2024-05-15,10,True
4,18,2024-05-22,5,True
4,19,2024-05-29,3,True
4,20,2024-06-05,6,True
4,21,2024-06-12,3,True
4,22,2024-06-19,2,True
4,23,2024-06-26,2,True
4,24,2024-07-03,3,True
4,25,2024-07-10,1,True
4,26,2024-07-17,3,True
4,27,2024-07-24,5,True
4,28,2024-07-31,4,True
4,29,2024-08-07,2,True
4,30,2024-08-14,3,True
4,31,2024-08-21,9,True
4,32,2024-08-28,2,True
4,33,2024-09-04,2,True
4,34,2024-09-11,3,True
4,35,2024-09-18,2,True
4,36,2024-09-25,4,True
4,37,2024-10-02,6,True
4,38,2024-10-09,2,True
4,39,2024-10-16,4,True
4,40,2024-10-23,6,True
4,41,2024-10-30,4,True
4,42,2024-11-06,1,True
4,43,2024-11-13,6,True
4,44,2024-11-20,3,True
4,45,2024-11-27,4,True
4,46,2024-12-04,4,True
4,47,2024-12-11,6,True
4,48,2024-12-18,5,True
4,49,2024-12-25,4,True
4,50,2025-01-01,4,True
4,51,2025-01-08,6,True
5,0,2024-01-17,9,True
5,1,2024-01-24,11,True
5,2,2024-01-31,11,True
5,3,2024-02-07,7,True
5,4,2024-02-14,5,True
5,5,2024-02-21,6,True
5,6,2024-02-28,12,True
5,7,2024-03-06,7,True
5,8,2024-03-13,6,True
5,9,2024-03-20,3,True
5,10,2024-03-27,5,True
5,11,2024-04-03,6,True
5,12,2024-04-10,5,True
5,13,2024-04-17,2,True
5,14,2024-04-24,4,True
5,15,2024-05-01,3,True
5,16,2024-05-08,2,True
5,17,2024-05-15,6,True
5,18,2024-05-22,11,True
5,19,2024-05-29,9,True
5,20,2024-06-05,6,True
5,21,2024-06-12,6,True
5,22,2024-06-19,5,True
5,23,2024-06-26,4,True
5,24,2024-07-03,12,True
5,25,2024-07-10,11,True
5,26,2024-07-17,8,True
5,27,2024-07-24,3,True
5,28,2024-07-31,5,True
5,29,2024-08-07,1,True
5,30,2024-08-14,13,True
5,31,2024-08-21,8,True
5,32,2024-08-28,11,True
5,33,2024-09-04,6,True
5,34,2024-09-11,9,True
5,35,2024-09-18,8,True
5,36,2024-09-25,8,True
5,37,2024-10-02,7,True
5,38,2024-10-09,4,True
5,39,2024-10-16,7,True
5,40,2024-10-23,3,True
5,41,2024-10-30,10,True
5,42,2024-11-06,5,True
5,43,2024-11-13,5,True
5,44,2024-11-20,7,True
5,45,2024-11-27,4,True
5,46,2024-12-04,6,True
5,47,2024-12-11,7,True
5,48,2024-12-18,11,True
5,49,2024-12-25,7,True
5,50,2025-01-01,7,True
5,51,2025-01-08,8,True
6,0,2024-01-17,2,True
6,1,2024-01-24,2,True
6,2,2024-01-31,3,True
6,3,2024-02-07,3,True
6,4,2024-02-14,3,True
6,5,2024-02-21,6,True
6,6,2024-02-28,5,True
6,7,2024-03-06,6,True
6,8,2024-03-13,8,True
6,9,2024-03-20,5,True
6,10,2024-03-27,5,True
6,11,2024-04-03,6,True
6,12,2024-04-10,6,True
6,13,2024-04-17,4,True
6,14,2024-04-24,6,True
6,15,2024-05-01,7,True
6,16,2024-05-08,5,True
6,17,2024-05-15,4,True
6,18,2024-05-22,2,True
6,19,2024-05-29,2,True
6,20,2024-06-05,6,True
6,21,2024-06-12,6,True
6,22,2024-06-19,8,True
6,23,2024-06-26,5,True
6,24,2024-07-03,5,True
6,25,2024-07-10,6,True
6,26,2024-07-17,6,True
6,27,2024-07-24,6,True
6,28,2024-07-31,5,True
6,29,2024-08-07,3,True
6,30,2024-08-14,6,True
6,31,2024-08-21,5,True
6,32,2024-08-28,7,True
6,33,2024-09-04,13,True
6,34,2024-09-11,6,True
6,35,2024-09-18,5,True
6,36,2024-09-25,5,True
6,37,2024-10-02,1,True
6,38,2024-10-09,4,True
6,39,2024-10-16,5,True
6,40,2024-10-23,5,True
6,41,2024-10-30,8,True
6,42,2024-11-06,5,True
6,43,2024-11-13,4,True
6,44,2024-11-20,5,True
6,45,2024-11-27,9,True
6,46,2024-12-04,4,True
6,47,2024-12-11,6,True
6,48,2024-12-18,3,True
6,49,2024-12-25,6,True
6,50,2025-01-01,12,True
6,51,2025-01-08,3,True
8,0,2024-01-19,2,True
8,1,2024-01-26,8,True
8,2,2024-02-02,4,True
8,3,2024-02-09,6,True
8,4,2024-02-16,7,True
8,5,2024-02-23,2,True
8,6,2024-03-01,7,True
8,7,2024-03-08,6,True
8,8,2024-03-15,3,True
8,9,2024-03-22,6,True
8,10,2024-03-29,5,True
8,11,2024-04-05,3,True
8,12,2024-04-12,7,True
8,13,2024-04-19,3,True
8,14,2024-04-26,2,True
8,15,2024-05-03,7,True
8,16,2024-05-10,5,True
8,17,2024-05-17,10,True
8,18,2024-05-24,9,True
8,19,2024-05-31,4,True
8,20,2024-06-07,4,True
8,21,2024-06-14,6,True
8,22,2024-06-21,5,True
8,23,2024-06-28,13,True
8,24,2024-07-05,5,True
8,25,2024-07-12,2,True
8,26,2024-07-19,6,True
8,27,2024-07-26,5,True
8,28,2024-08-02,5,True
8,29,2024-08-09,4,True
8,30,2024-08-16,5,True
8,31,2024-08-23,3,True
8,32,2024-08-30,7,True
8,33,2024-09-06,5,True
8,34,2024-09-13,5,True
8,35,2024-09-20,8,True
8,36,2024-09-27,6,True
8,37,2024-10-04,11,True
8,38,2024-10-11,5,True
8,39,2024-10-18,7,True
8,40,2024-10-25,5,True
8,41,2024-11-01,7,True
8,42,2024-11-08,8,True
8,43,2024-11-15,10,True
8,44,2024-11-22,3,True
8,45,2024-11-29,4,True
8,46,2024-12-06,7,True
8,47,2024-12-13,6,True
8,48,2024-12-20,6,True
8,49,2024-12-27,3,True
8,50,2025-01-03,6,True
8,51,2025-01-10,7,True
9,0,2024-01-19,6,True
9,1,2024-01-26,10,True
9,2,2024-02-02,3,True
9,3,2024-02-09,5,True
9,4,2024-02-16,8,True
9,5,2024-02-23,6,True
9,6,2024-03-01,10,True
9,7,2024-03-08,4,True
9,8,2024-03-15,7,True
9,9,2024-03-22,5,True
9,10,2024-03-29,10,True
9,11,2024-04-05,6,True
9,12,2024-04-12,8,True
9,13,2024-04-19,8,True
9,14,2024-04-26,10,True
9,15,2024-05-03,4,True
9,16,2024-05-10,4,True
9,17,2024-05-17,5,True
9,18,2024-05-24,5,True
9,19,2024-05-31,10,True
9,20,2024-06-07,5,True
9,21,2024-06-14,9,True
9,22,2024-06-21,8,True
9,23,2024-06-28,3,True
9,24,2024-07-05,8,True
9,25,2024-07-12,9,True
9,26,2024-07-19,4,True
9,27,2024-07-26,16,True
9,28,2024-08-02,9,True
9,29,2024-08-09,5,True
9,30,2024-08-16,8,True
9,31,2024-08-23,7,True
9,32,2024-08-30,6,True
9,33,2024-09-06,8,True
9,34,2024-09-13,9,True
9,35,2024-09-20,10,True
9,36,2024-09-27,6,True
9,37,2024-10-04,3,True
9,38,2024-10-11,8,True
9,39,2024-10-18,14,True
9,40,2024-10-25,5,True
9,41,2024-11-01,4,True
9,42,2024-11-08,6,True
9,43,2024-11-15,9,True
9,44,2024-11-22,6,True
9,45,2024-11-29,5,True
9,46,2024-12-06,8,True
9,47,2024-12-13,12,True
9,48,2024-12-20,7,True
9,49,2024-12-27,6,True
9,50,2025-01-03,11,True
9,51,2025-01-10,7,True
10,0,2024-01-19,9,True
10,1,2024-01-26,7,True
10,2,2024-02-02,6,True
10,3,2024-02-09,5,True
10,4,2024-02-16,8,True
10,5,2024-02-23,5,True
10,6,2024-03-01,5,True
10,7,2024-03-08,5,True
10,8,2024-03-15,5,True
10,9,2024-03-22,10,True
10,10,2024-03-29,7,True
10,11,2024-04-05,3,True
10,12,2024-04-12,6,True
10,13,2024-04-19,5,True
10,14,2024-04-26,4,True
10,15,2024-05-03,9,True
10,16,2024-05-10,10,True
10,17,2024-05-17,7,True
10,18,2024-05-24,6,True
10,19,2024-05-31,6,True
10,20,2024-06-07,11,True
10,21,2024-06-14,10,True
10,22,2024-06-21,8,True
10,23,2024-06-28,2,True
10,24,2024-07-05,6,True
10,25,2024-07-12,7,True
10,26,2024-07-19,12,True
10,27,2024-07-26,6,True
