account_id,engagement_propensity,p_activate_true,p_convert_true,p_annual_true,p_late_upgrade_true
1,0.3797,0.3753,0.1422,0.3813,
2,0.4637,0.4257,0.6374,0.5468,
3,0.1932,0.2737,0.1025,0.1217,0.0404
4,0.2589,0.3076,0.5385,0.1899,0.0488
5,0.438,0.41,0.157,0.4956,0.0807
6,0.3745,0.3723,0.1409,0.3715,0.0676
7,0.2282,0.2915,0.1091,0.155,
8,0.4027,0.3889,0.1479,0.4255,0.0732
9,0.4955,0.4452,0.1729,0.6088,0.5162
10,0.5304,0.4669,0.1831,0.6729,0.5423
11,0.289,0.3238,0.5535,0.2298,
12,0.2293,0.292,0.1093,0.1561,
13,0.2958,0.3276,0.1229,0.2395,0.0542
14,0.1642,0.2596,0.0973,0.099,0.0372
15,0.4333,0.4072,0.1558,0.4862,
16,0.3226,0.3425,0.57,0.2807,0.0585
17,0.1015,0.2306,0.46,0.0624,0.031
18,0.2845,0.3214,0.1205,0.2234,0.0525
19,0.1238,0.2406,0.4711,0.0737,0.0331
20,0.1022,0.2309,0.0869,0.0627,0.0311
21,0.1398,0.248,0.0931,0.0829,0.0346
22,0.4288,0.4045,0.1546,0.4772,0.0787
23,0.3109,0.3359,0.5643,0.2622,
24,0.1334,0.245,0.092,0.0791,0.034
25,0.1915,0.2729,0.1022,0.1203,0.0402
26,0.1583,0.2567,0.4883,0.0949,
27,0.4509,0.4179,0.1605,0.5214,0.0836
28,0.3798,0.3754,0.5978,0.3815,
29,0.7964,0.63,0.2762,0.9453,0.7247
30,0.4292,0.4047,0.6213,0.478,
31,0.0334,0.2018,0.0766,0.0372,
32,0.2905,0.3246,0.1218,0.2319,0.0534
33,0.3178,0.3398,0.1278,0.273,0.0577
34,0.2743,0.3158,0.5462,0.2096,
35,0.5679,0.4902,0.6841,0.7353,
36,0.2675,0.3122,0.117,0.2007,0.05
37,0.807,0.6362,0.7774,0.9495,0.731
38,0.4346,0.408,0.6238,0.4888,0.0799
39,0.1229,0.2402,0.0902,0.0732,0.033
40,0.1599,0.2575,0.0965,0.096,0.0367
41,0.569,0.4909,0.1949,0.737,0.5709
42,0.2027,0.2785,0.1042,0.1301,0.0415
43,0.3615,0.3647,0.1378,0.3476,0.0652
44,0.0251,0.1984,0.0754,0.0349,0.0248
45,0.0864,0.224,0.0844,0.0557,0.0297
46,0.2857,0.322,0.1208,0.2251,0.0527
47,0.2482,0.3019,0.113,0.1771,0.0473
48,0.1959,0.2751,0.5071,0.1241,
49,0.3773,0.3739,0.5966,0.3768,0.0682
50,0.3588,0.3631,0.5877,0.3427,0.0647
51,0.6878,0.5648,0.7335,0.8788,
52,0.1676,0.2612,0.493,0.1015,
53,0.134,0.2453,0.0921,0.0795,0.0341
54,0.2025,0.2784,0.1042,0.1299,0.0415
55,0.2828,0.3204,0.1202,0.2211,0.0522
56,0.4222,0.4005,0.1529,0.464,0.0772
57,0.3149,0.3382,0.1271,0.2685,0.0572
58,0.2552,0.3056,0.1145,0.1854,0.0483
59,0.2211,0.2878,0.1077,0.1477,0.0438
60,0.593,0.5059,0.6948,0.7725,
61,0.1364,0.2464,0.0925,0.0809,0.0343
62,0.2775,0.3176,0.1191,0.2139,0.0514
63,0.4278,0.4039,0.6206,0.4752,0.0785
64,0.4851,0.4388,0.1699,0.5888,0.5084
65,0.5626,0.4869,0.6818,0.7269,0.5662
66,0.4865,0.4397,0.1703,0.5915,0.0922
67,0.2301,0.2924,0.5242,0.157,
68,0.136,0.2462,0.0924,0.0806,0.0343
69,0.4185,0.3983,0.6163,0.4567,
70,0.0952,0.2278,0.4569,0.0595,0.0304
71,0.3947,0.3841,0.6049,0.41,
72,0.2438,0.2996,0.531,0.172,0.0467
73,0.2907,0.3247,0.5543,0.2322,
74,0.272,0.3146,0.1179,0.2066,0.0506
75,0.2797,0.3187,0.1195,0.2169,
76,0.3316,0.3476,0.1309,0.2955,0.06
77,0.1456,0.2507,0.094,0.0865,0.0352
78,0.2893,0.324,0.1215,0.2302,0.0532
79,0.3318,0.3477,0.1309,0.2958,0.06
80,0.0808,0.2215,0.0836,0.0534,0.0292
81,0.0507,0.2088,0.0791,0.0424,0.0267
82,0.0602,0.2128,0.0805,0.0456,
83,0.2805,0.3192,0.5493,0.2179,
84,0.0708,0.2172,0.4448,0.0495,0.0283
85,0.1338,0.2452,0.4761,0.0793,
86,0.1896,0.2719,0.504,0.1187,0.04
87,0.3633,0.3657,0.5898,0.3509,0.0656
88,0.3438,0.3545,0.1337,0.3162,0.0621
89,0.064,0.2144,0.081,0.047,0.0278
90,0.1835,0.2689,0.1007,0.1137,0.0393
91,0.3397,0.3522,0.5784,0.3092,
92,0.1591,0.2571,0.0964,0.0954,0.0366
93,0.4803,0.4358,0.645,0.5795,0.0906
94,0.1852,0.2698,0.101,0.1151,0.0395
95,0.5479,0.4778,0.6753,0.703,
96,0.4593,0.423,0.6354,0.5381,0.4891
97,0.1698,0.2623,0.0982,0.1031,0.0378
98,0.2921,0.3255,0.1221,0.2342,0.0536
99,0.2618,0.3091,0.1158,0.1935,0.0492
100,0.5554,0.4824,0.1907,0.7153,
101,0.2885,0.3235,0.5532,0.229,
102,0.1489,0.2523,0.0946,0.0886,0.0356
103,0.2761,0.3168,0.5471,0.251,
104,0.3477,0.3567,0.1346,0.323,0.0627
105,0.1259,0.2416,0.0907,0.0748,0.0333
106,0.3524,0.3594,0.1357,0.3313,0.0636
