account_id,trial_end_date,trial_observed,converted,plan,seats,billing_cycle,mrr,exp2_eligible,exp2_variant,trial_period_task_count
1,2024-01-15,True,1.0,pro,7.0,monthly,84.0,False,not_eligible,7
2,2024-01-15,True,1.0,pro,1.0,annual,9.96,False,not_eligible,12
3,2024-01-15,True,0.0,free,,,0.0,False,not_eligible,6
4,2024-01-17,True,0.0,free,,,0.0,False,not_eligible,5
5,2024-01-17,True,0.0,free,,,0.0,False,not_eligible,11
6,2024-01-17,True,0.0,free,,,0.0,False,not_eligible,13
7,2024-01-18,True,1.0,team,9.0,monthly,261.0,False,not_eligible,8
8,2024-01-19,True,0.0,free,,,0.0,False,not_eligible,12
9,2024-01-19,True,0.0,free,,,0.0,False,not_eligible,9
10,2024-01-19,True,0.0,free,,,0.0,False,not_eligible,13
11,2024-01-21,True,1.0,pro,2.0,monthly,24.0,False,not_eligible,5
12,2024-01-22,True,1.0,team,23.0,monthly,667.0,False,not_eligible,5
13,2024-01-22,True,0.0,free,,,0.0,False,not_eligible,12
14,2024-01-22,True,0.0,free,,,0.0,False,not_eligible,4
15,2024-01-23,True,1.0,pro,2.0,annual,19.92,False,not_eligible,6
16,2024-01-23,True,0.0,free,,,0.0,False,not_eligible,10
17,2024-01-23,True,0.0,free,,,0.0,False,not_eligible,1
18,2024-01-24,True,0.0,free,,,0.0,False,not_eligible,9
19,2024-01-26,True,0.0,free,,,0.0,False,not_eligible,7
20,2024-01-26,True,0.0,free,,,0.0,False,not_eligible,4
21,2024-01-26,True,0.0,free,,,0.0,False,not_eligible,5
22,2024-01-28,True,0.0,free,,,0.0,False,not_eligible,8
23,2024-01-30,True,1.0,pro,23.0,monthly,276.0,False,not_eligible,5
24,2024-01-31,True,0.0,free,,,0.0,False,not_eligible,5
25,2024-01-31,True,0.0,free,,,0.0,False,not_eligible,5
26,2024-01-31,True,1.0,pro,2.0,monthly,24.0,False,not_eligible,4
27,2024-02-01,True,0.0,free,,,0.0,False,not_eligible,10
28,2024-02-01,True,1.0,pro,4.0,monthly,48.0,False,not_eligible,9
29,2024-02-01,True,0.0,free,,,0.0,False,not_eligible,20
30,2024-02-02,True,1.0,pro,6.0,annual,59.76,False,not_eligible,10
31,2024-02-06,True,1.0,pro,1.0,monthly,12.0,False,not_eligible,2
32,2024-02-06,True,0.0,free,,,0.0,False,not_eligible,6
33,2024-02-06,True,0.0,free,,,0.0,False,not_eligible,9
34,2024-02-06,True,1.0,pro,4.0,monthly,48.0,False,not_eligible,6
35,2024-02-07,True,1.0,pro,3.0,annual,29.88,False,not_eligible,12
36,2024-02-09,True,0.0,free,,,0.0,False,not_eligible,6
37,2024-02-09,True,0.0,free,,,0.0,False,not_eligible,13
38,2024-02-10,True,0.0,free,,,0.0,False,not_eligible,6
39,2024-02-10,True,0.0,free,,,0.0,False,not_eligible,5
40,2024-02-11,True,0.0,free,,,0.0,False,not_eligible,3
